generator,generator_label,pipeline,fail_rate
gpt-oss:20b,GPT-OSS:20B,P1,0.062
gpt-oss:20b,GPT-OSS:20B,P2,0.005333333333333333
gpt-oss:20b,GPT-OSS:20B,P3,0.011666666666666667
gemma3:12b,Gemma3:12B,P1,0.0
gemma3:12b,Gemma3:12B,P2,0.0
gemma3:12b,Gemma3:12B,P3,0.0
gemma3:4b,Gemma3:4B,P1,0.0
gemma3:4b,Gemma3:4B,P2,0.0
gemma3:4b,Gemma3:4B,P3,0.0
granite4:7b-a1b-h,Granite4:7B,P1,0.0
granite4:7b-a1b-h,Granite4:7B,P2,0.0
granite4:7b-a1b-h,Granite4:7B,P3,0.0
lfm2.5-thinking:1.2b,LFM2.5:1.2B,P1,0.0
lfm2.5-thinking:1.2b,LFM2.5:1.2B,P2,0.0
lfm2.5-thinking:1.2b,LFM2.5:1.2B,P3,0.0
Maternion/lfm2:8b,LFM2:8B,P1,0.0
Maternion/lfm2:8b,LFM2:8B,P2,0.0
Maternion/lfm2:8b,LFM2:8B,P3,0.0
qwen3:0.6b,Qwen3:0.6B,P1,0.0
qwen3:0.6b,Qwen3:0.6B,P2,0.0
qwen3:0.6b,Qwen3:0.6B,P3,0.005666666666666667
qwen3:1.7b,Qwen3:1.7B,P1,0.0
qwen3:1.7b,Qwen3:1.7B,P2,0.0
qwen3:1.7b,Qwen3:1.7B,P3,0.01
qwen3:14b,Qwen3:14B,P1,0.008
qwen3:14b,Qwen3:14B,P2,0.003
qwen3:14b,Qwen3:14B,P3,0.005
qwen3:30b,Qwen3:30B,P1,0.004
qwen3:30b,Qwen3:30B,P2,0.006
qwen3:30b,Qwen3:30B,P3,0.0023333333333333335
qwen3:4b,Qwen3:4B,P1,0.0
qwen3:4b,Qwen3:4B,P2,0.0
qwen3:4b,Qwen3:4B,P3,0.0003333333333333333
qwen3:8b,Qwen3:8B,P1,0.028
qwen3:8b,Qwen3:8B,P2,0.0026666666666666666
qwen3:8b,Qwen3:8B,P3,0.011666666666666667
